,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,DDM,DDM,DDM,DDM,DDM,DDM,DDM,DDM,DDM,DDM,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,JL,JL,JL,JL,JL,JL,JL,JL,JL,JL,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,,,,
2018-06-10,49.5,430.826,355748,161294,173216,322054,0,0,152.862,42,22,406.181,348903,160757,174128,150765,0,0,83.372,42,47040.33333,349.047,308066,135666,151571,188711,0,0,133.916,50,47,385.722,405551,179690,201803,118525,0,0,63.272,48,65.68051,10.12254,0,0.0305,0.01569,0.02109,8.2747,21.3,18.3,24.9,0.5,59.9,0,0,0,0,4.836,2.514,4.476,2.098
2018-06-11,38.5,416.261,355748,161294,173216,466151,0,0,152.862,42,9,416.578,348903,160757,174128,230355,0,0,83.372,42,658,374.987,308066,135666,151571,396347,0,0,133.916,50,2570.333333,366.707,405551,179690,201803,213171,0,0,63.272,48,72.134,11.84105,0,0.04079,0.02151,0.02877,6.78072,20.2,18,23.9,5,67.3,0,0,0,0,4.37,2.464,3.534,1.656
2018-06-12,16,417.299,355748,161294,173216,494653,0,0,152.862,42,557.5,416.038,348903,160757,174128,236705,0,0,83.372,42,53938.33333,375.824,308066,135666,151571,413645,0,0,133.916,50,1159,362.039,405551,179690,201803,218152,0,0,63.272,48,58.20462,10.60836,0,0.03404,0.02156,0.01546,6.4885,21.3,16.6,27.1,0,65.5,0,0,0,0,5.744,3.194,5.25,2.27
2018-06-13,101109.6667,430.928,355748,161294,173216,345732,0,0,152.862,42,90740.33333,411.893,348903,160757,174128,169836,0,0,83.372,42,1568.5,360.222,308066,135666,151571,235362,0,0,133.916,50,104115,383.617,405551,179690,201803,141894,0,0,63.272,48,60.40171,10.5141,0,0.02761,0.01555,0.02188,8.29947,22,18.3,27,0,64,0,0,0,0,6.256,3.358,5.558,2.664
2018-06-14,108141,417.134,355748,161294,173216,469632,0,0,152.862,42,1164.5,416.191,348903,160757,174128,228510,0,0,83.372,42,97708.66667,375.83,308066,135666,151571,400074,0,0,133.916,50,38,364.735,405551,179690,201803,212663,0,0,63.272,48,62.82358,11.63802,0,0.04065,0.01867,0.02589,6.13108,21.6,18.8,25.1,29,74.9,0,0,0,0,4.038,2.08,3.312,1.486
2018-06-15,16,414.714,355748,161294,173216,504496,0,0,152.862,42,6605,413.888,348903,160757,174128,248990,0,0,83.372,42,760,374.514,308066,135666,151571,416242,0,0,133.916,50,4719.333333,362.681,405551,179690,201803,218954,0,0,63.272,48,56.71089,10.39808,0,0.03064,0.01615,0.01639,5.0403,21.7,17.2,27,16.5,60.8,0,0,0,0,5.622,3.132,4.958,2.198
2018-06-16,67374.66667,430.014,355748,161294,173216,432292,0,0,152.862,42,1507.5,407.172,348903,160757,174128,208202,0,0,83.372,42,87774.33333,357.485,308066,135666,151571,279177,0,0,133.916,50,1257,375.934,405551,179690,201803,165764,0,0,63.272,48,50.71423,8.69407,0,0.02086,0.01187,0.00987,4.67999,22.5,16.3,28.7,0,56.4,0,0,0,0,6.152,2.954,4.976,2.454
2018-06-17,2939.5,426.344,355748,161294,173216,317543,0,0,152.862,42,131384.3333,406.538,348903,160757,174128,152215,0,0,83.372,42,261780,350.57,308066,135666,151571,196058,0,0,133.916,50,2419.5,384.816,405551,179690,201803,120846,0,0,63.272,48,68.18214,11.03618,0,0.02724,0.01131,0.01876,19.57028,22.8,18.9,27.5,0,66.9,0,0,0,0,5.798,2.888,4.814,2.38
2018-06-18,188279.3333,412.933,355748,161294,173216,464827,0,0,152.862,42,121449.6667,413.882,348903,160757,174128,229546,0,0,83.372,42,2422,377.223,308066,135666,151571,399243,0,0,133.916,50,2016.5,365.596,405551,179690,201803,212303,0,0,63.272,48,68.76223,10.62286,0,0.03338,0.01783,0.02207,12.5535,24.8,19.9,30.8,0,54.9,0,0,0,0,4.672,2.686,4.056,1.934
2018-06-19,2270.5,412.489,355748,161294,173216,467701,0,0,152.862,42,33,415.04,348903,160757,174128,232340,0,0,83.372,42,115082,375.881,308066,135666,151571,403901,0,0,133.916,50,138077.3333,361.953,405551,179690,201803,213795,0,0,63.272,48,66.81168,11.66702,0,0.03474,0.01806,0.02514,11.93139,22.4,19.1,27.2,0,61.3,0,0,0,0,5.656,3.38,5.16,2.536
2018-06-20,2472.5,411.949,355748,161294,173216,478142,0,0,152.862,42,167818,414.306,348903,160757,174128,236147,0,0,83.372,42,3076.5,375.325,308066,135666,151571,409109,0,0,133.916,50,2716.5,361.111,405551,179690,201803,214159,0,0,63.272,48,67.31201,10.72438,0,0.0338,0.01527,0.02151,13.9434,22.7,19.1,28.4,0,68.1,0,0,0,0,5.674,3.394,4.978,2.424
2018-06-21,2220,414.233,355748,161294,173216,490853,0,0,152.862,42,1521,411.654,348903,160757,174128,238769,0,0,83.372,42,165111.3333,373.84,308066,135666,151571,407193,0,0,133.916,50,1964.5,361.131,405551,179690,201803,213337,0,0,63.272,48,63.72271,11.85555,0,0.03236,0.01783,0.0162,7.80207,23.7,19.4,28.7,0,60.1,0,0,0,0,6.198,3.508,5.184,2.438
2018-06-22,161647,414.405,355748,161294,173216,521521,0,0,152.862,42,171114,405.869,348903,160757,174128,246585,0,0,83.372,42,2276,371.323,308066,135666,151571,415257,0,0,133.916,50,147750.3333,362.791,405551,179690,201803,218408,0,0,63.272,48,53.22311,9.40468,0,0.02589,0.01452,0.01294,8.39131,25,18.2,32,0,45.1,0,0,0,0,6.108,3.228,4.972,2.568
2018-06-23,151378.3333,427.008,355748,161294,173216,458091,0,0,152.862,42,1621.5,396.023,348903,160757,174128,210054,0,0,83.372,42,48,355.827,308066,135666,151571,287805,0,0,133.916,50,2616,377.44,405551,179690,201803,166409,0,0,63.272,48,48.88695,8.61431,0,0.0148,0.0114,0.00651,8.4056,24.5,20.9,28.9,0,50.6,0,0,0,0,5.684,3.088,5.048,2.496
2018-06-24,62,423.141,355748,161294,173216,329810,0,0,152.862,42,188450.3333,394.583,348903,160757,174128,150066,0,0,83.372,42,2888,347.26,308066,135666,151571,197626,0,0,133.916,50,211783.6667,386.2,405551,179690,201803,119524,0,0,63.272,48,61.0398,10.05003,0,0.01727,0.01038,0.01425,15.16765,25.2,20.1,32.1,0,62.8,0,0,0,0,5.258,2.58,4.494,2.01
2018-06-25,2634.5,407.3,355748,161294,173216,464227,0,0,152.862,42,3275.5,400.426,348903,160757,174128,232734,0,0,83.372,42,232220.3333,370.589,308066,135666,151571,389728,0,0,133.916,50,3474.5,368.114,405551,179690,201803,206646,0,0,63.272,48,72.15575,11.70328,0,0.02808,0.0169,0.01946,13.25856,27.1,21.3,32.9,0,57.1,0,0,0,0,5.752,3.314,5.252,2.534
2018-06-26,2575,406.204,355748,161294,173216,419416,0,0,152.862,42,2622.5,398.749,348903,160757,174128,200559,0,0,83.372,42,161652,372.229,308066,135666,151571,369836,0,0,133.916,50,2873,369.878,405551,179690,201803,192358,0,0,63.272,48,67.34827,10.90566,0,0.02631,0.0175,0.01592,8.69331,22.3,20.2,26.9,71.5,88.3,0,0,0,0,0.74,0.502,0.704,0.492
2018-06-27,1514,406.556,355748,161294,173216,463060,0,0,152.862,42,22,398.718,348903,160757,174128,233297,0,0,83.372,42,28,371.204,308066,135666,151571,397249,0,0,133.916,50,1461,366.851,405551,179690,201803,206826,0,0,63.272,48,61.80842,10.07178,0,0.02668,0.0149,0.01341,6.43215,22.3,19.1,25.5,1,81.9,0,0,0,0,4.816,2.754,4.638,2.178
2018-06-28,70712.33333,406.739,355748,161294,173216,453758,0,0,152.862,42,866,397.805,348903,160757,174128,230311,0,0,83.372,42,1211.5,370.658,308066,135666,151571,389160,0,0,133.916,50,77505.66667,365.696,405551,179690,201803,204616,0,0,63.272,48,56.71814,9.80349,0,0.02687,0.01448,0.0149,3.9042,23.3,20.6,27.3,26.5,85.1,0,0,0,0,3.366,2.138,2.938,1.492
2018-06-29,2071,407.484,355748,161294,173216,491680,0,0,152.862,42,137751,396.021,348903,160757,174128,244084,0,0,83.372,42,1968.5,368.357,308066,135666,151571,402058,0,0,133.916,50,147876.6667,365.116,405551,179690,201803,211794,0,0,63.272,48,53.96998,9.46994,0,0.02174,0.01513,0.0074,4.63934,24.7,21.9,29.1,6.5,78.5,0,0,0,0,4.992,2.772,4.698,2.138
2018-06-30,2271,421.97,355748,161294,173216,389060,0,0,152.862,42,2524,392.994,348903,160757,174128,196149,0,0,83.372,42,2822,353.968,308066,135666,151571,258271,0,0,133.916,50,44,383.25,405551,179690,201803,151274,0,0,63.272,48,51.77289,8.20825,0,0.01173,0.01178,0.00516,6.35559,24.4,21.6,27.9,14.5,83.8,0,0,0,0,3.318,2.01,2.814,1.53
2018-07-01,456.5,424.401,355352,161293,172953,256104,0,0,135.444,42,3970,394.978,349917,161336,174581,115336,0,0,75.714,42,409.5,351.098,308519,136000,151711,165223,0,0,117.67,50,64.5,399.767,405118,179758,201592,97246,0,0,58.762,48,67.97186,9.44093,0,0.01345,0.01262,0.00572,1.82019,21.9,21,22.8,83.5,94.6,0,0,0,0,0.506,0.31,0.464,0.312
2018-07-02,27036.66667,409.487,355352,161293,172953,422083,0,0,135.444,42,33.5,400.584,349917,161336,174581,209603,0,0,75.714,42,605.5,371.065,308519,136000,151711,373404,0,0,117.67,50,62.5,373.981,405118,179758,201592,194657,0,0,58.762,48,73.30867,11.50025,0,0.02444,0.01816,0.00679,1.69385,22.6,20.6,25.3,59.5,95.4,0,0,0,0,0.468,0.318,0.602,0.246
2018-07-03,607,405.857,355352,161293,172953,449991,0,0,135.444,42,2971.666667,400.331,349917,161336,174581,227979,0,0,75.714,42,407.5,371.2,308519,136000,151711,390759,0,0,117.67,50,89.5,368.645,405118,179758,201592,204912,0,0,58.762,48,63.78072,11.45674,0,0.02496,0.02961,0.0081,2.37348,27.4,22.5,32.6,0.1,74.4,0,0,0,0,4.802,2.778,4.548,2.224
2018-07-04,94172.66667,407.725,355352,161293,172953,459176,0,0,135.444,42,1159,397.837,349917,161336,174581,229190,0,0,75.714,42,912.5,370.307,308519,136000,151711,397016,0,0,117.67,50,1115,367.376,405118,179758,201592,206067,0,0,58.762,48,68.5302,11.27546,0,0.02547,0.02011,0.00721,2.99466,27.3,24,31.8,0,69.6,0,0,0,0,5.44,3.104,4.94,2.364
2018-07-05,907,407.217,355352,161293,172953,459304,0,0,135.444,42,1258,397.469,349917,161336,174581,230791,0,0,75.714,42,67238.66667,370.005,308519,136000,151711,394208,0,0,117.67,50,1056.5,366.222,405118,179758,201592,206915,0,0,58.762,48,61.9897,10.41258,0,0.02593,0.01941,0.00791,3.8771,25.3,23.4,29,0.5,72.8,0,0,0,0,4.848,2.856,4.304,2.162
2018-07-06,2836.666667,410.491,355352,161293,172953,504933,0,0,135.444,42,314.3333333,393.672,349917,161336,174581,247547,0,0,75.714,42,48.5,370.054,308519,136000,151711,408809,0,0,117.67,50,5,364.725,405118,179758,201592,215248,0,0,58.762,48,51.41759,9.30316,0,0.02295,0.01653,0.00726,2.93384,23.9,21.5,27.1,0,57.8,0,0,0,0,6.028,3.444,5.46,2.5
2018-07-07,23742.66667,424.388,355352,161293,172953,447752,0,0,135.444,42,34.5,387.173,349917,161336,174581,210291,0,0,75.714,42,37,351.056,308519,136000,151711,279955,0,0,117.67,50,305,378.223,405118,179758,201592,163291,0,0,58.762,48,47.19019,8.17924,0,0.01168,0.01257,0.00358,2.23517,23.7,19.5,29.2,0,51.4,0,0,0,0,6.11,3.01,5.444,2.594
2018-07-08,59,423.865,355352,161293,172953,334848,0,0,135.444,42,556.5,387.825,349917,161336,174581,155801,0,0,75.714,42,456.5,342.163,308519,136000,151711,194141,0,0,117.67,50,4705.333333,386.059,405118,179758,201592,120754,0,0,58.762,48,59.45906,9.2379,0,0.0142,0.00996,0.00577,2.04004,23.3,17.7,28.1,0,51.5,0,0,0,0,6.502,2.99,5.15,2.372
2018-07-09,8,407.85,355352,161293,172953,440586,0,0,135.444,42,307,398.771,349917,161336,174581,217823,0,0,75.714,42,23705,368.129,308519,136000,151711,380828,0,0,117.67,50,47,370.706,405118,179758,201592,200585,0,0,58.762,48,69.71213,11.39148,0,0.02817,0.01783,0.01047,1.5085,20.8,20.1,24.2,14,82.3,0,0,0,0,1.016,0.562,0.834,0.414
2018-07-10,1110,405.648,355352,161293,172953,458870,0,0,135.444,42,90640,399.195,349917,161336,174581,229119,0,0,75.714,42,94044.66667,367.88,308519,136000,151711,394247,0,0,117.67,50,1208,366.711,405118,179758,201592,207007,0,0,58.762,48,64.59285,11.41324,0,0.03264,0.01653,0.01187,2.4207,23.7,20.4,26.5,16.5,87.8,0,0,0,0,3.242,1.826,2.812,1.334
2018-07-11,97845.66667,405.475,355352,161293,172953,464469,0,0,135.444,42,26,397.726,349917,161336,174581,228133,0,0,75.714,42,1266,367.386,308519,136000,151711,396745,0,0,117.67,50,1613,367.444,405118,179758,201592,206704,0,0,58.762,48,61.75041,10.95642,0,0.0311,0.01499,0.01099,2.3623,26.8,24.4,29.5,3,82.9,0,0,0,0,4.512,2.386,3.854,1.732
2018-07-12,26,405.222,355352,161293,172953,465521,0,0,135.444,42,1264,397.096,349917,161336,174581,233124,0,0,75.714,42,94175,367.59,308519,136000,151711,397301,0,0,117.67,50,107608,363.978,405118,179758,201592,209467,0,0,58.762,48,58.11761,10.81864,0,0.03031,0.01625,0.01387,2.21463,26.6,25.1,28.2,1,82.4,0,0,0,0,5.434,3.014,4.992,2.444
2018-07-13,94040.66667,407.268,355352,161293,172953,502260,0,0,135.444,42,1259.5,394.671,349917,161336,174581,243974,0,0,75.714,42,760.5,365.668,308519,136000,151711,404559,0,0,117.67,50,83910.66667,363.234,405118,179758,201592,213154,0,0,58.762,48,51.06228,9.83249,0,0.02742,0.01569,0.01066,3.90387,27.3,24.7,30.9,0,74.8,0,0,0,0,5.408,3.036,4.848,2.39
2018-07-14,910.5,418.38,355352,161293,172953,426348,0,0,135.444,42,60540.66667,387.692,349917,161336,174581,203493,0,0,75.714,42,80640,345.383,308519,136000,151711,265111,0,0,117.67,50,857.5,375.497,405118,179758,201592,159059,0,0,58.762,48,46.8929,8.00522,0,0.01359,0.01033,0.00521,1.73297,27.9,24.6,31.9,0,69.6,0,0,0,0,4.964,2.622,3.928,2.196
2018-07-15,1312,419.435,355352,161293,172953,322250,0,0,135.444,42,83974.33333,385.888,349917,161336,174581,149134,0,0,75.714,42,1112,340.742,308519,136000,151711,190346,0,0,117.67,50,70675,386.293,405118,179758,201592,119144,0,0,58.762,48,58.74845,8.51279,0,0.01802,0.01168,0.00842,1.82778,28.3,24.5,33.2,0,69.6,0,0,0,0,4.286,2.306,3.494,1.864
2018-07-16,91010,405.316,355352,161293,172953,445671,0,0,135.444,42,1114.5,393.856,349917,161336,174581,221513,0,0,75.714,42,104207.6667,366.137,308519,136000,151711,378233,0,0,117.67,50,1111.5,368.506,405118,179758,201592,199851,0,0,58.762,48,66.73917,10.83315,0,0.0346,0.01671,0.01257,2.90823,28.7,24,34,0,64.3,0,0,0,0,5.27,2.962,4.328,2.082
2018-07-17,1615.5,402.686,355352,161293,172953,451257,0,0,135.444,42,100843,391.932,349917,161336,174581,223806,0,0,75.714,42,1616,366.34,308519,136000,151711,384175,0,0,117.67,50,111008.3333,364.884,405118,179758,201592,203446,0,0,58.762,48,60.72801,10.81139,0,0.03138,0.01783,0.01289,4.02388,28.1,23.9,32.1,0,66.5,0,0,0,0,5.146,3.042,4.662,2.31
2018-07-18,114448.3333,402.156,355352,161293,172953,454435,0,0,135.444,42,1567,391.225,349917,161336,174581,223473,0,0,75.714,42,117746,366.035,308519,136000,151711,388002,0,0,117.67,50,2065.5,364.676,405118,179758,201592,204277,0,0,58.762,48,56.38459,10.56486,0,0.0298,0.0155,0.01164,4.83288,28.2,23.7,33.2,0,64.8,0,0,0,0,5.158,3.08,4.556,2.236
2018-07-19,1664,402.952,355352,161293,172953,455965,0,0,135.444,42,120778.3333,391.463,349917,161336,174581,223991,0,0,75.714,42,117677.3333,365.649,308519,136000,151711,387586,0,0,117.67,50,134208.6667,364.631,405118,179758,201592,204372,0,0,58.762,48,54.115,9.25241,0,0.0271,0.01643,0.00866,6.12158,28.7,23.2,34.1,0,64.1,0,0,0,0,5.13,3.154,4.332,2.256
2018-07-20,134380.6667,405.573,355352,161293,172953,492216,0,0,135.444,42,111182,387.975,349917,161336,174581,234968,0,0,75.714,42,1769,363.163,308519,136000,151711,396111,0,0,117.67,50,2015.5,365.108,405118,179758,201592,210284,0,0,58.762,48,48.2271,8.83909,0,0.02216,0.01415,0.00712,5.80985,29.5,24.6,34.7,0,62.6,0,0,0,0,4.844,2.934,4.244,2.22
2018-07-21,2321.5,419.575,355352,161293,172953,409736,0,0,135.444,42,1666.5,381.978,349917,161336,174581,190789,0,0,75.714,42,1972.5,344.738,308519,136000,151711,253901,0,0,117.67,50,104444,376.82,405118,179758,201592,153003,0,0,58.762,48,44.18823,8.17924,0,0.01234,0.01122,0.004,11.60336,30.6,24.9,36.9,0,53.6,0,0,0,0,4.098,2.346,3.214,1.86
2018-07-22,101076.3333,419.066,355352,161293,172953,307758,0,0,135.444,42,1413,382.175,349917,161336,174581,140368,0,0,75.714,42,1317,337.647,308519,136000,151711,177661,0,0,117.67,50,110844.3333,383.715,405118,179758,201592,113026,0,0,58.762,48,52.54876,8.74483,0,0.01457,0.01145,0.00372,3.5139,31.8,25.3,38,0,49.6,0,0,0,0,3.706,1.852,2.78,1.616
2018-07-23,1515,403.483,355352,161293,172953,443490,0,0,135.444,42,77611.33333,389.773,349917,161336,174581,219167,0,0,75.714,42,1466,363.88,308519,136000,151711,367022,0,0,117.67,50,1813.5,368.264,405118,179758,201592,197552,0,0,58.762,48,63.70096,10.5431,0,0.02263,0.01415,0.00498,2.36151,31.7,29.2,35.7,0,53.8,0,0,0,0,4.828,2.696,4.362,1.974
2018-07-24,154782.3333,399.673,355352,161293,172953,435834,0,0,135.444,42,144646.6667,388.796,349917,161336,174581,215017,0,0,75.714,42,44,365.529,308519,136000,151711,372325,0,0,117.67,50,144651,364.657,405118,179758,201592,197346,0,0,58.762,48,57.55202,9.69472,0,0.02458,0.01597,0.00447,2.47844,31.4,27.2,36.8,0,59.5,0,0,0,0,4.614,2.66,4.11,2.016
2018-07-25,107644,399.796,355352,161293,172953,447347,0,0,135.444,42,30,390.503,349917,161336,174581,224380,0,0,75.714,42,94244,363.933,308519,136000,151711,378086,0,0,117.67,50,1514.5,364.56,405118,179758,201592,200554,0,0,58.762,48,55.73925,9.79624,0,0.0223,0.01723,0.00465,2.05331,30.1,27.7,34.1,0,66.3,0,0,0,0,4.612,2.714,4.284,2.1
2018-07-26,1971.5,399.867,355352,161293,172953,445279,0,0,135.444,42,141279,388.563,349917,161336,174581,224549,0,0,75.714,42,2170,366.17,308519,136000,151711,376279,0,0,117.67,50,1722.5,364.173,405118,179758,201592,198465,0,0,58.762,48,55.98578,9.75998,0,0.0251,0.02398,0.00367,2.29035,30.1,27.3,33.7,0,68.8,0,0,0,0,4.626,2.618,4.066,2.068
2018-07-27,138251.6667,399.952,355352,161293,172953,472098,0,0,135.444,42,46,382.72,349917,161336,174581,231185,0,0,75.714,42,2575,367.801,308519,136000,151711,380530,0,0,117.67,50,2223,361.737,405118,179758,201592,200711,0,0,58.762,48,47.9298,8.5418,0,0.02095,0.0162,0.00409,3.25526,30.9,27.2,35.4,0,69.3,0,0,0,0,3.904,2.356,3.732,1.974
2018-07-28,34,410.206,355352,161293,172953,370465,0,0,135.444,42,1571.5,377.881,349917,161336,174581,180952,0,0,75.714,42,124481,348.357,308519,136000,151711,241249,0,0,117.67,50,127712.3333,376.203,405118,179758,201592,144349,0,0,58.762,48,41.30229,7.39612,0,0.01229,0.01075,0.00195,3.00323,29.5,28,35.2,7.5,77.1,0,0,0,0,3.252,1.808,2.416,1.57
2018-07-29,858.5,409.66,355352,161293,172953,293585,0,0,135.444,42,54042.66667,380.957,349917,161336,174581,141609,0,0,75.714,42,861,340.227,308519,136000,151711,173766,0,0,117.67,50,1057,384.167,405118,179758,201592,110474,0,0,58.762,48,47.73402,8.02697,0,0.01243,0.01033,0.00228,1.66353,31.3,26.4,36.7,0,52.4,0,0,0,0,3.656,1.95,2.962,1.544
2018-07-30,43.5,398.021,355352,161293,172953,432794,0,0,135.444,42,32.5,385.327,349917,161336,174581,213396,0,0,75.714,42,57074.66667,361.649,308519,136000,151711,350691,0,0,117.67,50,3045.333333,364.305,405118,179758,201592,189643,0,0,58.762,48,55.15191,9.88325,0,0.02053,0.01485,0.00465,1.36503,31.7,26.2,36.9,0,50.9,0,0,0,0,4.62,2.568,4.042,1.892
2018-07-31,709.5,399.293,355352,161293,172953,429772,0,0,135.444,42,811.5,383.887,349917,161336,174581,210355,0,0,75.714,42,760,362.442,308519,136000,151711,353282,0,0,117.67,50,37073,362.515,405118,179758,201592,189050,0,0,58.762,48,51.83815,9.85425,0,0.01997,0.01699,0.00414,1.11122,32.6,27.8,38.3,0,50.5,0,0,0,0,4.414,2.412,3.906,1.896
2018-08-01,32,399.595,355109,161556,172766,422395,0,0,130.794,42,1466.5,381.485,350587,161984,174876,205478,0,0,71.718,42,101144.3333,358.129,309037,136494,151924,340718,0,0,111.04,50,2213,362.335,404651,179914,201254,182984,0,0,53.46,48,49.39453,8.60706,0,0.02146,0.01392,0.00437,1.33466,33.6,27.8,39.6,0,55.5,0,0,0,0,3.874,2.236,3.426,1.62
2018-08-02,138013,396.24,355109,161556,172766,415996,0,0,130.794,42,127814.3333,377.405,350587,161984,174876,203291,0,0,71.718,42,1920.5,357.535,309037,136494,151924,332133,0,0,111.04,50,144552.3333,359.341,404651,179914,201254,179274,0,0,53.46,48,48.11108,8.30251,0,0.0223,0.01546,0.00549,1.45998,33.7,30.3,37.9,0,54.4,0,0,0,0,3.966,2.194,3.364,1.656
2018-08-03,148280,394.515,355109,161556,172766,435114,0,0,130.794,42,1974,374.135,350587,161984,174876,212197,0,0,71.718,42,134916.3333,353.638,309037,136494,151924,333699,0,0,111.04,50,,355.503,404651,179914,201254,183232,0,0,53.46,48,45.02936,7.94721,0,0.02072,0.01355,0.00372,4.32732,33.1,30,37.9,0,55.3,0,0,0,0,3.832,2.262,3.606,1.71
2018-08-04,27,405.286,355109,161556,172766,357936,0,0,130.794,42,97409,370.871,350587,161984,174876,175362,0,0,71.718,42,1464,337.488,309037,136494,151924,220527,0,0,111.04,50,94341,367.143,404651,179914,201254,133274,0,0,53.46,48,45.82698,6.80153,0,0.01313,0.01038,0.00307,1.40824,31.1,28,34.9,0,60.6,0,0,0,0,3.636,1.856,2.824,1.536
2018-08-05,84147,408.713,355109,161556,172766,286678,0,0,130.794,42,1360.5,375.369,350587,161984,174876,134580,0,0,71.718,42,87507.66667,336.137,309037,136494,151924,168443,0,0,111.04,50,25,380.046,404651,179914,201254,106190,0,0,53.46,48,54.88361,7.69342,0,0.01355,0.0101,0.00358,1.39795,30,27.2,33.9,2,71.8,0,0,0,0,3.522,1.744,2.828,1.48
2018-08-06,1319.5,400.999,355109,161556,172766,419424,0,0,130.794,42,110846.6667,379.843,350587,161984,174876,203680,0,0,71.718,42,117642,360.285,309037,136494,151924,339275,0,0,111.04,50,1419.5,363.404,404651,179914,201254,186083,0,0,53.46,48,64.15053,9.83249,0,0.02435,0.01504,0.00484,1.5337,30.5,28.3,35.3,6.5,71.6,0,0,0,0,3.48,2.246,3.028,1.69
2018-08-07,74038.33333,401.403,355109,161556,172766,433179,0,0,130.794,42,50742,382.035,350587,161984,174876,209695,0,0,71.718,42,911,361.845,309037,136494,151924,352069,0,0,111.04,50,957.5,361.856,404651,179914,201254,190599,0,0,53.46,48,60.76426,9.29591,0,0.02579,0.01504,0.00447,1.12701,30.5,26.8,35.9,0,63.4,0,0,0,0,4.564,2.606,4.046,1.85
2018-08-08,97443.66667,403.534,355109,161556,172766,440144,0,0,130.794,42,1064,381.675,350587,161984,174876,211730,0,0,71.718,42,74211.66667,365.656,309037,136494,151924,358499,0,0,111.04,50,97508.33333,364.771,404651,179914,201254,193456,0,0,53.46,48,58.88623,9.31041,0,0.02682,0.01802,0.00447,1.1713,31,27.6,35.3,0,64.8,0,0,0,0,4.7,2.57,3.86,2.028
2018-08-09,1263,402.764,355109,161556,172766,431576,0,0,130.794,42,93944.66667,384.976,350587,161984,174876,213228,0,0,71.718,42,1762,365.822,309037,136494,151924,357393,0,0,111.04,50,1559,363.681,404651,179914,201254,191875,0,0,53.46,48,55.36944,9.10013,0,0.02905,0.01788,0.00516,1.12366,28.8,27.1,32.5,2,76.3,0,0,0,0,3.714,2.124,3.248,1.782
2018-08-10,709.5,404.45,355109,161556,172766,469921,0,0,130.794,42,557,383.979,350587,161984,174876,227832,0,0,71.718,42,53903.66667,365.255,309037,136494,151924,371991,0,0,111.04,50,855,361.516,404651,179914,201254,199541,0,0,53.46,48,49.34377,8.09223,0,0.02626,0.01518,0.006,0.9649,30.7,25.7,36.8,0,60.9,0,0,0,0,4.604,2.57,3.902,1.968
2018-08-11,4637,415.413,355109,161556,172766,385548,0,0,130.794,42,3170.333333,381.301,350587,161984,174876,189772,0,0,71.718,42,33771.33333,347.248,309037,136494,151924,245928,0,0,111.04,50,3838,373.762,404651,179914,201254,146858,0,0,53.46,48,42.09992,6.48248,0,0.01513,0.01108,0.00428,0.80382,31,26.4,36,0,55.8,0,0,0,0,4.242,2.28,3.216,1.734
2018-08-12,47272.33333,414.963,355109,161556,172766,300042,0,0,130.794,42,508.5,382.577,350587,161984,174876,142869,0,0,71.718,42,15,340.589,309037,136494,151924,176269,0,0,111.04,50,1005.5,380.499,404651,179914,201254,109820,0,0,53.46,48,54.99238,7.64991,0,0.01746,0.0114,0.00521,0.79823,30.6,27.2,35.3,5,61.3,0,0,0,0,3.992,1.84,2.732,1.354
2018-08-13,1619,397.822,355109,161556,172766,431524,0,0,130.794,42,114209.6667,390.476,350587,161984,174876,214979,0,0,71.718,42,1566,361.247,309037,136494,151924,351015,0,0,111.04,50,107643,364.339,404651,179914,201254,191830,0,0,53.46,48,61.71416,9.81074,0,0.0271,0.01774,0.0067,1.05641,30.5,26.7,34.4,1,68.6,0,0,0,0,4.642,2.538,3.97,1.782
2018-08-14,84378,399.177,355109,161556,172766,453583,0,0,130.794,42,1511.5,389.409,350587,161984,174876,220745,0,0,71.718,42,107677,362.688,309037,136494,151924,366959,0,0,111.04,50,77479.66667,361.259,404651,179914,201254,195801,0,0,53.46,48,51.59161,8.70132,0,0.02971,0.01504,0.00721,0.87954,31.7,27.7,37.2,0,58.3,0,0,0,0,4.67,2.766,4.028,1.95
2018-08-15,1366,414.345,355109,161556,172766,318574,0,0,130.794,42,87444.33333,389.267,350587,161984,174876,160383,0,0,71.718,42,97709,347.775,309037,136494,151924,204496,0,0,111.04,50,1612,380.62,404651,179914,201254,123462,0,0,53.46,48,53.07809,9.00587,0,0.02635,0.01206,0.00996,0.92658,31.7,28.3,38,1,59.5,0,0,0,0,3.304,1.864,2.836,1.45
2018-08-16,87173.66667,401.439,355109,161556,172766,444846,0,0,130.794,42,559,391.558,350587,161984,174876,218610,0,0,71.718,42,961,362.944,309037,136494,151924,366196,0,0,111.04,50,805.5,363.72,404651,179914,201254,195005,0,0,53.46,48,57.38525,9.37567,0,0.03096,0.01611,0.00805,0.99005,29.9,24.1,35.6,0,51,0,0,0,0,5.412,2.99,4.552,2.192
